id;idade;educacao;tipo_emprego;renda;divida;outras_div;default
1;33;3;12;9783,73;24,85;7480,25;pagou
2;28;1;2;733,77;21,3;9,02;nao_pagou
3;60;2;4;7805,46;969,08;222,44;nao_pagou
4;57;3;9;9870,15;1057,51;4994,95;nao_pagou
5;35;3;2;6709,14;956,65;3294,75;nao_pagou
6;32;3;9;4764,84;785,64;2240,51;pagou
7;49;3;14;5927,34;26,8;4030,88;nao_pagou
8;25;1;4;6335,45;2685,38;202,67;nao_pagou
9;48;2;17;9740,83;4407,66;3450,65;nao_pagou
10;63;2;10;9263,6;1705,36;5715,77;pagou
11;47;1;20;265,86;58,88;87,12;pagou
12;21;3;15;4106;1340,37;2525,59;nao_pagou
13;42;1;14;4182,25;1003,03;1233,97;nao_pagou
14;64;2;9;404,27;92,25;291,76;pagou
15;25;3;15;9566,62;203,11;7035,13;pagou
16;36;3;1;3996,62;369,53;2316,06;pagou
17;65;1;19;5554,17;1954,33;1341,6;nao_pagou
18;65;1;3;4978,63;287,67;1117,43;nao_pagou
19;65;1;12;2355,13;89,4;1960,57;pagou
20;18;1;10;2252,79;174,11;619,02;nao_pagou
21;68;2;7;3314,41;489,42;160,84;nao_pagou
22;64;3;8;4145,59;196,76;3255,21;pagou
23;26;1;19;9512,85;667,84;7070,87;pagou
24;57;2;13;6899,92;1860,08;1139,55;nao_pagou
25;20;2;19;1924,46;96,91;1607,11;nao_pagou
26;69;2;2;7543,47;3141,55;94,78;nao_pagou
27;31;3;12;6373,44;1351,53;3553,14;nao_pagou
28;36;3;13;643,88;147,77;122,8;pagou
29;54;2;9;9336,88;2704,73;6397,26;nao_pagou
30;57;3;11;7478,55;1428,39;5977,38;pagou
31;56;3;5;338,16;20,48;220,32;nao_pagou
32;42;2;12;3459,12;726,93;557,53;pagou
33;45;1;2;4554,32;1355,37;1924,01;pagou
34;61;1;12;4764,19;2019,08;1927,42;nao_pagou
35;38;1;19;8493,28;747,6;5676,95;pagou
36;25;1;2;2014,37;510,67;693,4;pagou
37;57;2;5;9011,85;2321,61;107,27;nao_pagou
38;29;1;1;7065,87;3119,07;217,24;nao_pagou
39;23;3;11;1339,79;120,25;777,47;nao_pagou
40;63;2;16;7048,2;311,64;3614,83;nao_pagou
41;66;3;1;3890,38;565,84;1582,3;nao_pagou
42;43;3;18;7290,03;2609,42;653,43;pagou
43;32;3;8;7071,81;1986,6;489,48;pagou
44;65;1;4;3872,15;553,18;1213,9;pagou
45;34;3;9;5293,11;721,95;440,67;nao_pagou
46;35;2;14;3614,78;1473,73;292,52;nao_pagou
47;29;2;2;7181,78;572,37;2393,78;pagou
48;31;1;19;9731,11;2231,57;2983,59;pagou
49;43;1;2;1545,26;673,53;774,61;pagou
50;39;2;12;2324,37;868,63;1132,61;pagou
